R,Z,A_phi,Br,Bz
6.500000000000000222e-01,0.000000000000000000e+00,9.710110271693203621e-02,-2.145703427481379977e-05,3.453021242211701258e-02
6.499259840548596845e-01,4.711613861719243616e-03,9.709464475318087262e-02,-4.461711349338876118e-04,3.456026052703072005e-02
6.497040092642407672e-01,9.418577929397006429e-03,9.707281375473092444e-02,-8.587261413653695828e-04,3.460832387688087680e-02
6.493342946904619994e-01,1.411624699777714632e-02,9.704270771252672401e-02,-1.244082530613809055e-03,3.460421155453517056e-02
6.488172051971716758e-01,1.879998503464563875e-02,9.699799137421601103e-02,-1.631828037915515010e-03,3.462457057351726181e-02
6.481532510892706878e-01,2.346516975603462826e-02,9.693691318409700108e-02,-2.017375692220795946e-03,3.466697223156803287e-02
6.473430876093033692e-01,2.810719718785869084e-02,9.686635257317517678e-02,-2.437928912711241885e-03,3.470930124596034727e-02
6.463875142908120930e-01,3.272148620948137770e-02,9.678378947711031854e-02,-2.825121634944948931e-03,3.475899189045174309e-02
6.452874741692946614e-01,3.730348307472821506e-02,9.668324538347571051e-02,-3.261873958711612904e-03,3.484687265999344280e-02
6.440440528515414265e-01,4.184866590588438851e-02,9.656804678713457046e-02,-3.731948580875353149e-03,3.496867187117966291e-02
6.426584774442729575e-01,4.635254915624210936e-02,9.645057443568150202e-02,-4.230374938618101932e-03,3.509858359783014220e-02
6.411321153431337461e-01,5.081068803679370666e-02,9.631133979073434881e-02,-4.714396216992796165e-03,3.520772121667428700e-02
6.394664728832377687e-01,5.521868290270168927e-02,9.616372319575068606e-02,-5.152212336155477350e-03,3.529719410017736342e-02
6.376631938525971766e-01,5.957218359521709167e-02,9.600419916871096027e-02,-5.571875915446942648e-03,3.542332650699062807e-02
6.357240578699029365e-01,6.386689373476089893e-02,9.582375903841711118e-02,-5.962680290915868368e-03,3.557012564697024926e-02
6.336509786282551460e-01,6.809857496093200957e-02,9.563304305833776608e-02,-6.373745626962893165e-03,3.574670492599527072e-02
6.314460020065795209e-01,7.226305111525729852e-02,9.542714244974474791e-02,-6.797323499008280957e-03,3.594518334475867855e-02
6.291113040505915688e-01,7.635621236255570043e-02,9.521069893578405774e-02,-7.207559320901374585e-03,3.610680015222707262e-02
6.266491888253022946e-01,8.037401924684949017e-02,9.497449228083802708e-02,-7.698809230222474799e-03,3.631706747320505302e-02
6.240620861411843023e-01,8.431250667781958752e-02,9.473163830040329247e-02,-8.142746925663479213e-03,3.657555625618018336e-02
6.213525491562421621e-01,8.816778784387097057e-02,9.446231279669908831e-02,-8.569724943084507107e-03,3.680941294350815324e-02
6.185232518563535953e-01,9.193605804794646730e-02,9.418720216214479524e-02,-9.067601157758276714e-03,3.701933456652183735e-02
6.155769864163683769e-01,9.561359846230343962e-02,9.389612829367478819e-02,-9.561979997911685542e-03,3.726583753098725721e-02
6.125166604445688723e-01,9.919677979854776839e-02,9.359055170353890174e-02,-9.997187636119456849e-03,3.759890021012528283e-02
6.093452941132116996e-01,1.026820658893032867e-01,9.327009086485045508e-02,-1.046686491508178919e-02,3.787480325346608695e-02
6.060660171779821415e-01,1.060660171779821276e-01,9.292985163151951111e-02,-1.091370766814520055e-02,3.821598191685277729e-02
6.026820658893032867e-01,1.093452941132117273e-01,9.257531782713579460e-02,-1.133703488198800971e-02,3.860760275978195738e-02
5.991967797985477961e-01,1.125166604445689139e-01,9.220400067334259819e-02,-1.185354813011435006e-02,3.895504358634715308e-02
5.956135984623034396e-01,1.155769864163683769e-01,9.181495409018680665e-02,-1.232351216117853927e-02,3.933015017815406911e-02
5.919360580479464673e-01,1.185232518563535536e-01,9.141482399004112469e-02,-1.270398471783282073e-02,3.972583977983507042e-02
5.881677878438710261e-01,1.213525491562420927e-01,9.098795405863013830e-02,-1.316426604809006924e-02,4.022132065910440785e-02
5.843125066778196430e-01,1.240620861411842746e-01,9.055223072773935233e-02,-1.370474406931290051e-02,4.065160833282936703e-02
5.803740192468495041e-01,1.266491888253022668e-01,9.008801589620715755e-02,-1.415649961641651973e-02,4.104392864690264292e-02
5.763562123625556310e-01,1.291113040505915410e-01,8.961463574622284545e-02,-1.461831720669778956e-02,4.147799757065326332e-02
5.722630511152573263e-01,1.314460020065795487e-01,8.912281152798992578e-02,-1.495108641668549052e-02,4.203091698575171092e-02
5.680985749609319679e-01,1.336509786282551737e-01,8.861018808718497397e-02,-1.530495366323562055e-02,4.262281209919629998e-02
5.638668937347608434e-01,1.357240578699029365e-01,8.807876994377945856e-02,-1.565510421339954064e-02,4.318799782357304190e-02
