R,Z,A_phi,Br,Bz
5.024999999999999467e-01,0.000000000000000000e+00,7.490307200720498770e-02,3.859351399815243210e-05,4.999655630978438320e-02
5.024692208514878189e-01,3.910861626005771702e-04,7.489806787821363943e-02,-9.781937384551999065e-06,4.999492182355971814e-02
5.023776412907379196e-01,7.725424859373685544e-04,7.488352792647912093e-02,-5.754549097109193297e-05,5.000062445734154704e-02
5.022275163104709117e-01,1.134976249348866855e-03,7.485981528020976827e-02,-1.035210495540228999e-04,5.001352379336034687e-02
5.020225424859373620e-01,1.469463130731182886e-03,7.482752175531523497e-02,-1.465765422968947956e-04,5.003330220715213050e-02
5.017677669529663209e-01,1.767766952966369053e-03,7.478745250650874199e-02,-1.856518000753946095e-04,5.005947268852899146e-02
5.014694631307311523e-01,2.022542485937368472e-03,7.474060522472061874e-02,-2.197846603596670899e-04,5.009139083338429860e-02
5.011349762493488846e-01,2.227516310470919504e-03,7.468814448868763001e-02,-2.481346588490504100e-04,5.012827071106228105e-02
5.007725424859373886e-01,2.377641290737884071e-03,7.463137200817579475e-02,-2.700037244924813036e-04,5.016920421657627971e-02
5.003910861626005291e-01,2.469220851487844478e-03,7.457169359736177949e-02,-2.848533683145510094e-04,5.021318343117046196e-02
5.000000000000000000e-01,2.500000000000000052e-03,7.451058378695933626e-02,-2.923179428012175215e-04,5.025912544062272058e-02
4.996089138373994154e-01,2.469220851487844478e-03,7.444954902203282376e-02,-2.922136453551201895e-04,5.030589900018791333e-02
4.992274575140626114e-01,2.377641290737884071e-03,7.439009040007982243e-02,-2.845430441255180211e-04,5.035235238959624715e-02
4.988650237506511154e-01,2.227516310470919938e-03,7.433349173265514642e-02,-2.691649581777877777e-04,5.039616125496729215e-02
4.985305368692687922e-01,2.022542485937368472e-03,7.428011386009447659e-02,-2.445257812037287073e-04,5.042933571898067929e-02
4.982322330470336236e-01,1.767766952966369053e-03,7.423249578942697768e-02,-2.135583055470767120e-04,5.045937868384819946e-02
4.979774575140626380e-01,1.469463130731183103e-03,7.419179875009396241e-02,-1.770250532336521937e-04,5.048555039206867323e-02
4.977724836895290883e-01,1.134976249348867072e-03,7.415901353877879520e-02,-1.358255941823295133e-04,5.050720640932634953e-02
4.976223587092621359e-01,7.725424859373687713e-04,7.413493722877717573e-02,-9.097439580811424371e-05,5.052381349260436777e-02
4.975307791485121811e-01,3.910861626005774413e-04,7.412015454258014113e-02,-4.357584346757523261e-05,5.053496272039682824e-02
4.974999999999999978e-01,3.061616997868382979e-19,7.411502424853251558e-02,5.202953173887538336e-06,5.054037956171292950e-02
4.975307791485121811e-01,-3.910861626005768450e-04,7.411967083875875550e-02,5.416089825541636098e-05,5.053993063594203194e-02
4.976223587092621359e-01,-7.725424859373672534e-04,7.413398164315476713e-02,1.020924846869998971e-04,5.053362699712649064e-02
4.977724836895290883e-01,-1.134976249348866638e-03,7.415760943294931462e-02,1.478174777348770870e-04,5.052162386177488917e-02
4.979774575140626380e-01,-1.469463130731182669e-03,7.418998046643929256e-02,1.902099763176600127e-04,5.050421678691557892e-02
4.982322330470336236e-01,-1.767766952966368620e-03,7.423030782814105111e-02,2.282261364276003026e-04,5.048183439250211735e-02
4.985305368692687922e-01,-2.022542485937368472e-03,7.427760981006444052e-02,2.609298740343944157e-04,5.045502780736833837e-02
4.988650237506511154e-01,-2.227516310470919504e-03,7.433073297991901751e-02,2.875159145806749882e-04,5.042445709860544217e-02
4.992274575140626114e-01,-2.377641290737884071e-03,7.438837947637194636e-02,3.073296215141864819e-04,5.039087501852226869e-02
4.996089138373994154e-01,-2.469220851487844044e-03,7.444913796752880564e-02,3.198831156123010098e-04,5.035510846938263951e-02
5.000000000000000000e-01,-2.500000000000000052e-03,7.451151760814159197e-02,3.248672881876642758e-04,5.031803814232881089e-02
5.003910861626005291e-01,-2.469220851487844478e-03,7.457388270645202988e-02,3.223504466723163780e-04,5.027989355722892184e-02
5.007725424859373886e-01,-2.377641290737884071e-03,7.463348072472072992e-02,3.146798454427169201e-04,5.023344016782031046e-02
5.011349762493488846e-01,-2.227516310470919938e-03,7.469012077066704280e-02,2.996318160891563945e-04,5.018845078518535674e-02
5.014694631307311523e-01,-2.022542485937368906e-03,7.474240024652155368e-02,2.775768910358657237e-04,5.014603319723529712e-02
5.017677669529663209e-01,-1.767766952966369270e-03,7.478902187712882510e-02,2.490581357337529858e-04,5.010723186576228338e-02
5.020225424859373620e-01,-1.469463130731183537e-03,7.482882663017251246e-02,2.147777765866839910e-04,5.007300220832062304e-02
5.022275163104709117e-01,-1.134976249348867506e-03,7.486082333734636607e-02,1.755799098068457000e-04,5.004418707267852678e-02
5.023776412907379196e-01,-7.725424859373692050e-04,7.488421418119106665e-02,1.324297169646239977e-04,5.002149598310697692e-02
5.024692208514878189e-01,-3.910861626005777123e-04,7.489841531421193022e-02,8.638969901506637276e-05,5.000548766953946678e-02
5.074999999999999512e-01,0.000000000000000000e+00,7.569341881491056800e-02,4.961547486973459756e-05,4.936435238466917175e-02
5.074076625544635677e-01,1.173258487801731240e-03,7.567721806328137069e-02,-7.379983182179752086e-05,4.938326653541969674e-02
5.071329238722136479e-01,2.317627457812105121e-03,7.563249264782438697e-02,-2.027732742304796108e-04,4.941608081460867330e-02
5.066825489314127351e-01,3.404928748046600132e-03,7.556070512132703754e-02,-3.406999499792638989e-04,4.945477882266401115e-02
5.060676274578120859e-01,4.408389392193548008e-03,7.546590881217182800e-02,-4.640831321622044744e-04,4.952545729623331755e-02
5.053033008588990738e-01,5.303300858899105859e-03,7.534793026345444622e-02,-5.750526809173142281e-04,4.961623956439165095e-02
5.044083893921935680e-01,6.067627457812104982e-03,7.520908326102718200e-02,-6.722515971182114417e-04,4.972219250911830146e-02
5.034049287480466539e-01,6.682548931412757645e-03,7.505288662339672234e-02,-7.532865208633236472e-04,4.984070721727672237e-02
5.023176274578120548e-01,7.132923872213650478e-03,7.488327725345547692e-02,-8.161621033905533309e-04,4.996886546342418911e-02
5.011732584878016983e-01,7.407662554463532133e-03,7.470450430845029799e-02,-8.593301391859810463e-04,5.010351156620745233e-02
5.000000000000000000e-01,7.499999999999998855e-03,7.452063094279744171e-02,-8.777712690195624409e-04,5.024161300133527658e-02
4.988267415121982462e-01,7.407662554463532133e-03,7.433517410431075834e-02,-8.604766965671710151e-04,5.038052398371403728e-02
4.976823725421878897e-01,7.132923872213651345e-03,7.415427370783161942e-02,-8.241065899492452853e-04,5.051566320484016798e-02
4.965950712519534016e-01,6.682548931412758512e-03,7.398081061247914481e-02,-7.658432881906222919e-04,5.063931177292561175e-02
4.955916106078064320e-01,6.067627457812104982e-03,7.381894689231900675e-02,-6.870174377425851799e-04,5.074830207005375654e-02
4.946966991411008707e-01,5.303300858899105859e-03,7.367414111919862174e-02,-5.933654111960752313e-04,5.084443892602766302e-02
4.939323725421879141e-01,4.408389392193548875e-03,7.355254659085364022e-02,-4.874839442665860191e-04,5.092012727899743879e-02
4.933174510685872649e-01,3.404928748046600999e-03,7.345509870170859046e-02,-3.717691616363211194e-04,5.097729833985204656e-02
4.928670761277863521e-01,2.317627457812105989e-03,7.338364156945036132e-02,-2.490202878509686175e-04,5.101544454668475309e-02
4.925923374455364878e-01,1.173258487801732107e-03,7.333986166729902778e-02,-1.222598075632975068e-04,5.103362661328467859e-02
4.924999999999999933e-01,9.184850993605147975e-19,7.332478997712460478e-02,5.391015508109923343e-06,5.103139683682796079e-02
4.925923374455364878e-01,-1.173258487801730372e-03,7.333872024894722008e-02,1.375256678769356091e-04,5.101547279089924808e-02
4.928670761277863521e-01,-2.317627457812101218e-03,7.338123083811935732e-02,2.813204271716858787e-04,5.099656187445299194e-02
4.933174510685872649e-01,-3.404928748046599264e-03,7.345370078751221887e-02,4.152786977067316268e-04,5.095171961089692281e-02
4.939323725421879141e-01,-4.408389392193547140e-03,7.355266799025884927e-02,5.386128115218620244e-04,5.088894472757261866e-02
4.946966991411008707e-01,-5.303300858899104991e-03,7.367504696360623051e-02,6.493471799254088702e-04,5.081269722411335676e-02
4.955916106078064320e-01,-6.067627457812104115e-03,7.381792595721779759e-02,7.447551552609834799e-04,5.072485456710554286e-02
4.965950712519534016e-01,-6.682548931412757645e-03,7.397853157407724423e-02,8.208398918205757951e-04,5.061544854628356738e-02
4.976823725421878897e-01,-7.132923872213650478e-03,7.415283530431479586e-02,8.761544638241452977e-04,5.049031366868581699e-02
4.988267415121982462e-01,-7.407662554463531265e-03,7.433604211865578459e-02,9.108089291310905722e-04,5.036337016043578724e-02
5.000000000000000000e-01,-7.499999999999998855e-03,7.452168231257597086e-02,9.166067008539698427e-04,5.023135145812907681e-02
5.011732584878016983e-01,-7.407662554463532133e-03,7.470493275619863316e-02,8.924565499214248254e-04,5.009668265713342755e-02
5.023176274578120548e-01,-7.132923872213651345e-03,7.488368901475829509e-02,8.478517549070573815e-04,4.997042601205194806e-02
5.034049287480466539e-01,-6.682548931412759380e-03,7.505350258392304297e-02,7.838906338989314786e-04,4.985569038050761265e-02
5.044083893921935680e-01,-6.067627457812105850e-03,7.521048720448018921e-02,7.056902346194134437e-04,4.974600110932197311e-02
5.053033008588990738e-01,-5.303300858899106726e-03,7.535124283843355752e-02,6.205221801970084439e-04,4.963002299345570245e-02
5.060676274578120859e-01,-4.408389392193549743e-03,7.547134745941798395e-02,5.222185390429078238e-04,4.953231171211946310e-02
5.066825489314127351e-01,-3.404928748046601866e-03,7.556774395026766289e-02,4.131998730533827883e-04,4.945527324134291192e-02
5.071329238722136479e-01,-2.317627457812107290e-03,7.563796898637160926e-02,2.961505835973215800e-04,4.940080452395435168e-02
5.074076625544635677e-01,-1.173258487801732974e-03,7.568022247362143906e-02,1.739528126454431025e-04,4.937024676054616035e-02
5.124999999999999556e-01,0.000000000000000000e+00,7.647668955423259085e-02,3.862696227999079025e-05,4.881060028490354086e-02
5.123461042574392055e-01,1.955430813002886122e-03,7.645060600260659978e-02,-1.392984849425092111e-04,4.880001054851342696e-02
5.118882064536893761e-01,3.862712429686842447e-03,7.638109540246906803e-02,-4.046403664378835107e-04,4.884457728280985206e-02
5.111375815523545585e-01,5.674881246744334709e-03,7.626887950633745583e-02,-6.340247762807602267e-04,4.892096459469767733e-02
5.101127124296868098e-01,7.347315653655914214e-03,7.611427589782196468e-02,-8.382724020898496293e-04,4.902922046162624947e-02
5.088388347648318266e-01,8.838834764831845700e-03,7.591707694315175114e-02,-1.021262165292017047e-03,4.917809142376586978e-02
5.073473156536558726e-01,1.011271242968684453e-02,7.568452856453125599e-02,-1.175629743581211011e-03,4.935752995669379084e-02
5.056748812467443122e-01,1.113758155235459839e-02,7.542352966005398673e-02,-1.296359735154027897e-03,4.956040654080739322e-02
5.038627124296868320e-01,1.188820645368941949e-02,7.514208816783805867e-02,-1.377517529169673986e-03,4.978934581790538105e-02
5.019554308130028675e-01,1.234610425743922282e-02,7.484450993061730895e-02,-1.429799077995459093e-03,5.001112439357698752e-02
5.000000000000000000e-01,1.250000000000000069e-02,7.453549208836993123e-02,-1.448284769115715980e-03,5.022350463188870323e-02
4.980445691869971325e-01,1.234610425743922282e-02,7.422634202162149697e-02,-1.415882354775668079e-03,5.045734713773813301e-02
4.961372875703131680e-01,1.188820645368942122e-02,7.392445793518305497e-02,-1.341116587925684101e-03,5.069176972237827289e-02
4.943251187532556878e-01,1.113758155235460012e-02,7.363420314256917398e-02,-1.233533761989574935e-03,5.090833180597381658e-02
4.926526843463440719e-01,1.011271242968684453e-02,7.336548190527723834e-02,-1.109550480780279900e-03,5.108657758127187892e-02
4.911611652351681734e-01,8.838834764831845700e-03,7.312565824603756148e-02,-9.540589385851779274e-04,5.124653158482220250e-02
4.898872875703131347e-01,7.347315653655915949e-03,7.292035306161866182e-02,-7.708878532199436385e-04,5.138425521820005198e-02
4.888624184476453860e-01,5.674881246744336444e-03,7.275411483546082025e-02,-5.787362921091456251e-04,5.151041736174759300e-02
4.881117935463105684e-01,3.862712429686844182e-03,7.263407356783835311e-02,-3.851921244581094214e-04,5.160461370647154156e-02
4.876538957425607945e-01,1.955430813002887423e-03,7.256018915325873619e-02,-1.828096366709934908e-04,5.165331546183422190e-02
4.874999999999999889e-01,1.530808498934191586e-18,7.253435818872049079e-02,2.468942947711646151e-05,5.165926182438315695e-02
4.876538957425607945e-01,-1.955430813002884387e-03,7.255723880497044753e-02,2.326094720905273099e-04,5.162359789800313736e-02
4.881117935463105684e-01,-3.862712429686836375e-03,7.263283216958665856e-02,4.410223957007884947e-04,5.155760557798898247e-02
